REVIEWS,BOUGHT_TOGETHER,COMPARE_SIMILAR,WARRANTY,SPONSORED_LINKS,BUY
0,1,0,1,1,0
0,1,1,0,0,0
1,0,0,0,1,1
1,0,0,0,1,0
0,1,0,1,0,0
1,1,0,0,1,0
0,1,1,0,0,0
1,0,1,0,1,0
1,0,0,0,1,0
0,1,1,0,0,0
1,1,1,1,0,1
1,1,1,0,0,1
1,1,1,1,1,1
1,0,1,0,1,0
1,0,1,1,0,1
0,1,1,1,1,0
0,0,1,1,1,1
0,1,1,0,0,0
0,1,1,1,1,0
1,1,1,0,1,0
1,0,0,0,1,1
0,1,1,0,0,0
0,1,0,1,1,0
1,1,0,0,0,0
0,0,1,0,0,0
0,1,1,1,0,0
0,1,1,0,0,0
1,0,0,0,1,1
1,0,0,0,0,0
1,0,0,0,1,0
0,0,1,0,1,0
1,0,0,0,1,1
0,0,1,1,1,0
1,0,0,0,0,0
1,1,1,1,1,1
1,0,1,1,1,1
1,0,0,0,1,1
0,0,0,1,1,0
1,0,0,1,0,1
1,0,0,0,1,1
0,0,1,0,1,1
1,1,1,1,1,1
1,1,0,0,1,0
0,1,0,1,1,0
